Jometry Game Id,Jarchive Game Id,Season,Game In Season,Date,Podium,Contestant,Jometry Contestant Id,JAtt,JBuz,JCor,JInc,JDD,JFinal$,DJAtt,DJBuz,DJCor,DJInc,DJDD1,DJDD2,DJFinal$,FJCor,FJWager,FJFinal$
326,7248,38,96,01/24/2022,3,Joanne Mercer,978,11,6,5,1,,3000,7,4,3,1,,,4200,1,2000,6200
327,7249,38,97,01/25/2022,1,Amy Schneider,834,23,19,20,0,2400,14600,22,15,16,0,5000,,38000,1,25000,63000
327,7249,38,97,01/25/2022,2,John Williams,980,10,5,5,0,,2200,9,5,4,2,,-1500,1500,1,1499,2999
327,7249,38,97,01/25/2022,3,Maria Krasinski,981,15,5,4,1,,1400,11,6,4,2,,,2200,1,801,3001
328,7250,38,98,01/26/2022,1,Amy Schneider,834,27,15,14,1,,7200,19,13,14,0,4000,,27600,0,8000,19600
328,7250,38,98,01/26/2022,2,Janice Hawthorne Timm,983,18,5,5,0,,2000,16,5,3,2,,,3200,0,500,2700
328,7250,38,98,01/26/2022,3,Rhone Talsma,984,19,8,8,1,-1400,3400,17,8,8,1,,7800,17600,1,12000,29600
329,7251,38,99,01/27/2022,1,Rhone Talsma,984,19,11,8,3,,1200,19,9,8,1,,,9200,0,9200,0
329,7251,38,99,01/27/2022,2,Chris Canahui,986,10,5,4,1,,800,13,6,6,0,,,9200,0,9199,1
329,7251,38,99,01/27/2022,3,Carrie Cadwallader,987,23,13,10,4,-1000,4200,20,12,11,3,2000,-2000,13000,0,5500,7500
330,7252,38,100,01/28/2022,1,Carrie Cadwallader,987,18,13,12,2,1000,6600,15,9,6,4,,-4000,5000,1,4500,9500
330,7252,38,100,01/28/2022,2,Kirsten Greenwell,989,15,9,7,2,,1600,14,8,7,1,,,6800,0,6800,0
330,7252,38,100,01/28/2022,3,Jay Foster,990,13,4,3,1,,600,13,11,11,1,3000,,13600,1,0,13600
331,7254,38,101,01/31/2022,1,Jay Foster,990,16,8,7,1,,4400,14,11,9,3,5600,,16400,0,4401,11999
331,7254,38,101,01/31/2022,2,Matthew McElroy,992,20,12,10,2,,4600,18,11,10,2,,-3000,10400,0,9999,401
331,7254,38,101,01/31/2022,3,Riley Timmreck,993,16,11,8,4,-200,1800,6,3,1,2,,,200,0,200,0
332,7255,38,102,02/01/2022,1,Jay Foster,990,13,11,12,0,1000,7600,13,8,7,1,,,12800,1,12800,25600
332,7255,38,102,02/01/2022,2,Zoha Khalili,995,13,5,4,1,,1200,14,7,8,0,,5200,15600,0,13601,1999
332,7255,38,102,02/01/2022,3,Scott Plummer,996,20,11,9,2,,3800,14,10,9,2,4000,,14600,1,14200,28800
333,7257,38,103,02/02/2022,1,Scott Plummer,996,20,10,10,0,,5800,19,13,12,1,,,17000,0,7401,9599
333,7257,38,103,02/02/2022,2,Ben Sloat,998,19,5,3,2,,1000,9,4,5,1,-1400,2000,6800,1,0,6800
333,7257,38,103,02/02/2022,3,Emma Saltzberg,999,18,15,12,4,1000,5000,17,9,8,1,,,12200,1,10000,22200
334,7258,38,104,02/03/2022,1,Emma Saltzberg,999,23,13,12,2,1000,6000,25,10,10,1,3000,,20200,0,5401,14799
334,7258,38,104,02/03/2022,2,Heather Brice,1001,9,3,2,1,,-400,16,7,7,1,,-2500,4300,0,4000,300
334,7258,38,104,02/03/2022,3,Zach Gozlan,1002,20,13,12,1,,5200,20,13,11,2,,,12800,0,7401,5399
335,7259,38,105,02/04/2022,1,Emma Saltzberg,999,20,9,9,1,1400,5200,21,13,14,0,,5000,24600,0,7400,17200
335,7259,38,105,02/04/2022,2,Sara Lefort,1004,20,14,10,4,,3800,18,8,5,3,,,4200,1,3000,7200
335,7259,38,105,02/04/2022,3,Molly Mastantuono,1005,17,8,4,4,,200,14,5,5,1,-2000,,5400,0,3001,2399
336,7260,38,106,02/07/2022,1,Emma Saltzberg,999,15,9,8,1,,3200,16,9,9,1,,-4000,11600,0,2000,9600
336,7260,38,106,02/07/2022,2,Lawrence Long,1007,19,11,8,4,-2000,1600,17,10,10,1,3600,,14800,1,8401,23201
336,7260,38,106,02/07/2022,3,Jennifer Kronenberger,1008,12,5,4,1,,1200,16,6,5,1,,,5600,0,5000,600
337,7262,38,107,02/08/2022,1,Lawrence Long,1007,19,11,11,1,1000,5800,19,11,9,2,,,10200,1,10190,20390
337,7262,38,107,02/08/2022,2,Krystle Valerio,1010,24,13,13,0,,7000,16,7,5,3,,-1200,10600,0,10201,399
337,7262,38,107,02/08/2022,3,Andrés Quijano,1011,21,4,2,2,,-200,11,6,4,3,-1000,,800,0,799,1
338,7268,38,108,02/09/2022,1,Lawrence Long,1007,17,7,8,0,1000,5200,18,8,8,1,,6800,18000,1,13201,31201
338,7268,38,108,02/09/2022,2,Michelle Bemis,1013,20,10,9,1,,4400,16,11,11,1,2000,,13200,1,4401,17601
338,7268,38,108,02/09/2022,3,James Cantres,1014,14,8,8,0,,4000,10,6,5,1,,,8800,0,8000,800
339,7271,38,109,02/10/2022,1,Lawrence Long,1007,28,13,12,2,-1800,5200,15,8,7,2,-5000,,8600,1,8600,17200
339,7271,38,109,02/10/2022,2,Kelsey Davison,1016,23,14,10,4,,2400,17,10,9,1,,,12800,1,5000,17800
339,7271,38,109,02/10/2022,3,Nick Heise,1017,16,6,6,0,,3400,14,8,9,0,,2000,13000,1,12900,25900
340,7274,38,110,02/11/2022,1,Nick Heise,1017,16,8,8,1,-3400,1200,12,9,9,0,,,13600,0,5300,8300
340,7274,38,110,02/11/2022,2,Gillian Cruz,1019,7,1,0,1,,-400,12,6,5,1,,,4000,0,4000,0
340,7274,38,110,02/11/2022,3,Dave Rapp,1020,23,16,15,1,,7200,22,13,15,0,4000,5000,29800,1,200,30000
341,7278,38,111,02/14/2022,1,Dave Rapp,1020,18,13,13,1,-1600,4400,18,14,14,2,-5000,3000,19600,0,2400,17200
341,7278,38,111,02/14/2022,2,Carrie Christian,1022,20,9,8,1,,3600,10,6,5,1,,,5200,0,5199,1
341,7278,38,111,02/14/2022,3,Hung Pham,1023,18,3,2,1,,600,10,4,4,0,,,5000,0,1025,3975
342,7279,38,112,02/15/2022,1,Dave Rapp,1020,15,11,10,2,1600,5800,22,14,13,1,,,17400,1,4600,22000
342,7279,38,112,02/15/2022,2,Jimmy Rollins,1025,21,12,11,1,,5600,17,11,9,4,-3600,-3000,10600,1,8000,18600
342,7279,38,112,02/15/2022,3,Lara Owens,1026,10,4,3,1,,1000,14,4,1,3,,,-2200,,,-2200
343,7282,38,113,02/16/2022,1,Dave Rapp,1020,20,9,9,0,,4400,19,9,7,2,,,9200,0,800,8400
343,7282,38,113,02/16/2022,2,Charles Fogelman,1028,19,12,11,2,1200,6400,15,10,10,1,2500,,18500,0,8000,10500
343,7282,38,113,02/16/2022,3,Emily Budd,1029,22,9,8,1,,3600,23,10,9,2,,2000,13200,0,9999,3201
344,7285,38,114,02/17/2022,1,Charles Fogelman,1028,15,7,6,1,,2400,16,13,12,1,,,14400,0,8403,5997
344,7285,38,114,02/17/2022,2,Matt Takimoto,1031,17,12,10,3,-4000,1000,13,7,8,0,,4000,11400,1,10000,21400
344,7285,38,114,02/17/2022,3,Linda Sellars,1032,16,5,5,0,,3200,16,7,7,1,-3000,,10600,0,1000,9600
345,7288,38,115,02/18/2022,1,Matt Takimoto,1031,18,11,12,0,2000,8600,15,11,9,2,,,17400,0,10000,7400
345,7288,38,115,02/18/2022,2,Bridget Kranz,1034,12,5,5,0,,2400,12,5,3,2,,,3600,1,0,3600
345,7288,38,115,02/18/2022,3,Carter Lockwood,1035,18,11,9,2,,4200,18,11,10,3,6200,-3200,13600,1,3801,17401
346,7291,38,116,02/21/2022,1,Carter Lockwood,1035,20,10,9,1,,3800,18,11,9,2,,,9800,1,2801,12601
346,7291,38,116,02/21/2022,2,Lynde Smith,1037,18,7,6,1,,3200,18,10,8,3,,-5200,6000,1,4000,10000
346,7291,38,116,02/21/2022,3,Henry Rozycki,1038,21,11,10,2,1200,6400,13,4,5,0,2200,,12600,1,7501,20101
347,7292,38,117,02/22/2022,1,Henry Rozycki,1038,21,10,10,1,1000,5400,16,10,9,1,,,15000,0,7800,7200
347,7292,38,117,02/22/2022,2,Hieu Ton-That,1040,15,12,9,3,,2800,18,9,10,1,3000,2000,15400,0,14700,700
347,7292,38,117,02/22/2022,3,Holly Ambler,1041,21,9,6,3,,2000,15,3,2,1,,,3600,0,3000,600
348,7295,38,118,02/23/2022,1,Henry Rozycki,1038,21,7,7,1,2000,5800,18,10,9,1,,,17000,1,17000,34000
348,7295,38,118,02/23/2022,2,Patrick Byrnett,1043,17,7,6,1,,2000,19,7,6,1,,,8800,1,8800,17600
348,7295,38,118,02/23/2022,3,Christine Whelchel,1044,20,15,15,0,,8000,18,12,12,2,3000,-2000,19000,1,15000,34000
349,7296,38,119,02/24/2022,1,Christine Whelchel,1044,14,11,11,0,,6800,16,11,10,2,-3000,,12600,0,2000,10600
349,7296,38,119,02/24/2022,2,Lucian Wang,1046,11,2,2,0,,1400,13,10,7,4,,-4000,4600,1,600,5200
349,7296,38,119,02/24/2022,3,Anne Large,1047,14,8,8,1,-1200,3200,11,4,2,2,,,1200,0,800,400
350,7297,38,120,02/25/2022,1,Christine Whelchel,1044,17,12,11,2,-2500,3100,18,9,9,1,-2000,,11500,1,3501,15001
350,7297,38,120,02/25/2022,2,Max Fronek,1049,14,8,7,1,,3400,17,9,10,0,,4000,15000,0,8001,6999
350,7297,38,120,02/25/2022,3,Theresa Donohoe,1050,9,4,3,1,,600,13,7,6,1,,,7400,1,7399,14799
351,7298,38,121,02/28/2022,1,Christine Whelchel,1044,20,14,15,0,1000,8400,14,10,8,3,,-3000,11800,1,2201,14001
351,7298,38,121,02/28/2022,2,Joe Choo,1052,12,4,2,2,,200,10,7,4,3,,,-1400,,,-1400
351,7298,38,121,02/28/2022,3,Ellen Pratt,1053,16,8,6,2,,2600,14,9,7,3,1600,,7000,0,5500,1500
352,7299,38,122,03/01/2022,1,Christine Whelchel,1044,20,11,9,2,,3400,15,9,9,2,2000,-2000,10600,1,4000,14600
352,7299,38,122,03/01/2022,2,Margaret Shelton,1055,23,13,11,2,,4800,17,12,10,2,,,13600,1,3000,16600
352,7299,38,122,03/01/2022,3,Stefan Stenroos,1056,19,8,7,2,800,3000,11,4,2,2,,,1800,1,1799,3599
353,7300,38,123,03/02/2022,1,Margaret Shelton,1055,22,12,11,1,,6600,18,14,15,1,3000,-3000,19400,1,5000,24400
353,7300,38,123,03/02/2022,2,Christie Baugher,1058,21,10,7,3,,1600,18,7,5,2,,,7600,1,7600,15200
353,7300,38,123,03/02/2022,3,Ujal Thakor,1059,19,9,10,0,1000,5200,21,8,7,1,,,14400,1,6800,21200
354,7301,38,124,03/03/2022,1,Margaret Shelton,1055,20,10,10,0,,4600,15,7,5,2,,,8600,1,8600,17200
354,7301,38,124,03/03/2022,2,Ryan Pressman,1061,19,10,9,2,-600,5200,14,8,7,2,,7200,14800,0,2401,12399
354,7301,38,124,03/03/2022,3,Louis DellaPeruta,1062,19,11,9,2,,3800,16,10,8,3,-2000,,8200,1,8000,16200
355,7302,38,125,03/04/2022,1,Margaret Shelton,1055,19,12,12,1,1000,7200,13,10,10,1,7600,,24000,0,2500,21500
355,7302,38,125,03/04/2022,2,Caitlin McHale,1064,13,8,8,0,,3600,9,5,3,2,,,5600,0,3601,1999
355,7302,38,125,03/04/2022,3,Adrian Alcalá,1065,23,10,6,4,,2200,20,11,11,1,,-10000,4600,0,4600,0
356,7303,38,126,03/07/2022,1,Margaret Shelton,1055,16,7,6,1,,3200,17,7,7,1,,3500,12300,0,12300,0
356,7303,38,126,03/07/2022,2,Maureen O'Neil,1067,17,12,12,0,,6600,15,8,6,2,,,10200,0,8000,2200
356,7303,38,126,03/07/2022,3,Clay Cooper,1068,20,8,7,2,1000,2600,15,11,6,6,-2600,,-2400,,,-2400
361,7304,38,127,03/08/2022,1,Maureen O'Neil,1067,24,10,9,1,,4200,10,6,5,1,,,9400,1,9400,18800
361,7304,38,127,03/08/2022,2,Miranda Wilson,1082,22,12,9,3,,3800,17,9,7,3,,-2400,6200,1,6000,12200
361,7304,38,127,03/08/2022,3,Gundeep Singh,1083,17,7,6,2,-600,2600,13,9,9,1,-2000,,8600,0,8599,1
689,7305,38,128,03/09/2022,1,Maureen O'Neil,1067,16,9,8,1,,3800,8,5,5,0,,,9000,1,9000,18000
689,7305,38,128,03/09/2022,2,Shelley Vinyard,2066,10,7,6,1,,3200,10,7,7,1,-4000,,8800,0,4000,4800
689,7305,38,128,03/09/2022,3,Sallie Bieterman,2067,18,8,6,3,-1400,200,10,4,4,1,,500,1500,0,100,1400
690,7306,38,129,03/10/2022,1,Maureen O'Neil,1067,23,14,11,3,,2800,12,6,6,1,2000,,9600,1,9600,19200
690,7306,38,129,03/10/2022,2,Karson Leperi,2069,24,13,12,2,-1800,5000,11,7,7,1,,2000,14200,0,12601,1599
690,7306,38,129,03/10/2022,3,Hannah Langhoff,2070,15,7,5,2,,1400,20,13,12,1,,,13400,0,12601,799
1338,7307,38,130,03/11/2022,1,Maureen O'Neil,1067,16,6,6,0,,3000,9,7,2,5,,,-2600,,,-2600
1338,7307,38,130,03/11/2022,2,Laura Dera,4013,18,13,10,4,600,3200,12,7,5,3,-1000,,7400,0,7400,0
1338,7307,38,130,03/11/2022,3,Matt Glassman,4014,19,7,6,1,,3400,14,10,7,4,,-2500,6900,1,2000,8900
1339,7308,38,131,03/14/2022,1,Matt Glassman,4014,20,16,15,1,,7200,14,10,10,0,,,16000,0,3201,12799
1339,7308,38,131,03/14/2022,2,Susan Swan,4016,19,7,5,2,,2400,14,4,4,0,,,5600,0,0,5600
1339,7308,38,131,03/14/2022,3,Amy Bekkerman,4017,20,8,8,1,1000,4400,11,7,7,2,-4000,2000,9600,1,6500,16100
1340,7309,38,132,03/15/2022,1,Amy Bekkerman,4017,20,11,11,1,2000,6000,18,13,15,0,5000,5000,28000,1,10000,38000
1340,7309,38,132,03/15/2022,2,Ariel San Jose,4019,19,9,5,4,,1000,15,4,2,2,,,200,0,199,1
1340,7309,38,132,03/15/2022,3,Simi Landau,4020,19,13,10,3,,4200,19,10,9,1,,,17000,0,5000,12000
1341,7310,38,133,03/16/2022,1,Amy Bekkerman,4017,16,11,10,2,-1000,4200,16,11,8,4,2000,,8600,0,6001,2599
1341,7310,38,133,03/16/2022,2,Katie Hargrove,4022,23,10,10,0,,5800,13,8,8,0,,,14600,1,2601,17201
1341,7310,38,133,03/16/2022,3,Evan Freeman,4023,21,9,8,1,,4600,20,9,7,3,,-5400,4800,1,3801,8601
1342,7311,38,134,03/17/2022,1,Katie Hargrove,4022,16,9,8,2,1000,3400,11,7,6,1,,,9800,1,4999,14799
1342,7311,38,134,03/17/2022,2,Finn Corrigan,4025,16,12,10,2,,4000,13,11,9,4,-1500,-2100,10800,1,8801,19601
1342,7311,38,134,03/17/2022,3,Joel Levinson,4026,14,6,4,2,,2000,9,3,2,1,,,2400,0,0,2400
1343,7312,38,135,03/18/2022,1,Finn Corrigan,4025,20,10,8,2,,4000,14,8,7,2,,2000,10800,1,9201,20001
1343,7312,38,135,03/18/2022,2,Debra Burgess,4028,17,12,9,3,,2800,14,6,6,0,,,10000,1,4500,14500
1343,7312,38,135,03/18/2022,3,Michael Qin,4029,14,8,8,1,1000,4400,15,13,11,3,-3000,,8600,1,2201,10801
1344,7313,38,136,03/21/2022,1,Finn Corrigan,4025,21,13,10,4,1000,1800,17,11,10,1,,,11400,0,11400,0
1344,7313,38,136,03/21/2022,2,Margaret Chipowsky,4031,17,9,8,1,,3800,17,8,7,1,,,9800,1,9000,18800
1344,7313,38,136,03/21/2022,3,Karen Johnson,4032,13,4,4,0,,1800,24,10,11,1,3000,1000,15400,0,7401,7999
1345,7314,38,137,03/22/2022,1,Margaret Chipowsky,4031,21,10,11,0,2000,7200,18,8,9,0,3000,,20600,0,10300,10300
1345,7314,38,137,03/22/2022,2,Mihir Nene,4034,21,7,7,0,,4600,19,9,9,1,,-2500,12500,1,12499,24999
1345,7314,38,137,03/22/2022,3,Caitlin Gillooly,4035,22,11,10,1,,4600,21,11,10,1,,,15400,0,15400,0
1346,7315,38,138,03/23/2022,1,Mihir Nene,4034,19,7,7,0,,3600,13,6,4,2,,,6400,0,0,6400
1346,7315,38,138,03/23/2022,2,Tim McCaigue,4037,22,16,16,1,1000,8800,17,10,10,0,,,18800,0,2000,16800
1346,7315,38,138,03/23/2022,3,Nadège Aoki,4038,19,5,5,0,,3000,19,11,8,5,2500,-2000,5900,0,3000,2900
1347,7316,38,139,03/24/2022,1,Tim McCaigue,4037,22,6,6,0,,3600,13,5,5,2,4000,4000,11200,1,10000,21200
1347,7316,38,139,03/24/2022,2,Ciara Donegan,4040,16,13,13,1,3000,9200,14,11,10,1,,,19600,1,8001,27601
1347,7316,38,139,03/24/2022,3,Omar Khalid,4041,18,10,10,0,,6200,14,8,8,0,,,13800,1,11000,24800
1348,7317,38,140,03/25/2022,1,Ciara Donegan,4040,13,9,8,1,,3400,16,11,10,2,3000,,15200,0,10000,5200
1348,7317,38,140,03/25/2022,2,Jackie Kelly,4043,17,7,7,0,,4600,19,9,8,2,,-4000,10600,0,3100,7500
1348,7317,38,140,03/25/2022,3,Nicole Wachell,4044,17,11,10,2,3000,8400,17,7,6,1,,,12000,0,11201,799
1421,7318,38,141,03/28/2022,1,Jackie Kelly,4043,20,8,7,1,,3200,23,6,7,1,6000,-2400,17200,1,11601,28801
1421,7318,38,141,03/28/2022,2,Amie Walker,4262,14,7,6,1,,2400,13,10,8,2,,,7600,0,7599,1
1421,7318,38,141,03/28/2022,3,Ryan Guzzo Purcell,4263,18,12,11,2,2000,6000,18,13,10,3,,,14400,1,13500,27900
1422,7319,38,142,03/29/2022,1,Jackie Kelly,4043,21,13,14,0,6600,15200,15,12,12,1,2000,,30800,1,24000,54800
1422,7319,38,142,03/29/2022,2,Jennie Bunde,4265,14,6,5,1,,1000,4,0,0,0,,,1000,1,750,1750
1422,7319,38,142,03/29/2022,3,John Darcy,4266,16,9,6,3,,1600,9,6,5,2,,-1000,3000,1,0,3000
1423,7320,38,143,03/30/2022,1,Jackie Kelly,4043,16,10,11,0,7000,14600,13,8,8,0,,,23000,1,999,23999
1423,7320,38,143,03/30/2022,2,Candace Orsetti,4268,17,12,9,3,,2800,14,9,6,4,-3200,,4000,0,4000,0
1423,7320,38,143,03/30/2022,3,Joey Lavarias,4269,11,4,4,0,,2200,13,11,10,2,,2000,11000,0,2500,8500
1424,7321,38,144,03/31/2022,1,Jackie Kelly,4043,21,14,14,0,,9200,22,11,11,1,2000,,20000,0,14801,5199
1424,7321,38,144,03/31/2022,2,Evan Roberts,4271,17,8,8,1,2000,5600,16,8,9,0,,5000,17400,1,3000,20400
1424,7321,38,144,03/31/2022,3,Christian Souvenir,4272,11,7,3,4,,-1400,16,9,5,4,,,1000,0,700,300
1425,7322,38,145,04/01/2022,1,Evan Roberts,4271,18,10,10,0,,5800,17,6,5,1,,,12200,0,12000,200
1425,7322,38,145,04/01/2022,2,Yian Chen,4274,12,4,4,0,,2400,15,6,3,3,,,1200,0,1200,0
1425,7322,38,145,04/01/2022,3,Nell Klugman,4275,24,15,14,2,-4000,3600,20,16,16,2,2000,2000,24000,1,401,24401
1426,7323,38,146,04/04/2022,1,Nell Klugman,4275,22,10,7,3,,2200,17,8,5,4,-3400,,1200,1,200,1400
1426,7323,38,146,04/04/2022,2,Sarah Cahalan,4277,20,8,8,0,,5400,9,4,4,0,,,9000,1,4000,13000
1426,7323,38,146,04/04/2022,3,Camron Conners,4278,22,13,12,2,2000,8200,15,11,11,1,,5200,24600,0,400,24200
1427,7324,38,147,04/05/2022,1,Camron Conners,4278,15,9,6,4,-1000,-1000,10,3,3,0,,,2200,0,2199,1
1427,7324,38,147,04/05/2022,2,Kathleen Snyder,4280,16,7,5,2,,2400,11,8,9,0,4000,,16000,1,5001,21001
1427,7324,38,147,04/05/2022,3,Mattea Roach,4281,18,12,11,1,,4600,14,12,13,0,,1000,18000,1,14001,32001
1428,7325,38,148,04/06/2022,1,Mattea Roach,4281,23,20,21,0,1000,12800,18,14,14,2,5000,1000,28800,1,10000,38800
1428,7325,38,148,04/06/2022,2,Vernon Ng,4283,18,5,1,4,,-1800,15,7,5,2,,,2200,0,2197,3
1428,7325,38,148,04/06/2022,3,Lana Altman,4284,17,6,4,2,,1400,13,7,4,3,,,2200,0,2199,1
1429,7326,38,149,04/07/2022,1,Mattea Roach,4281,21,14,13,1,,6600,12,6,7,0,,3000,16400,0,6801,9599
1429,7326,38,149,04/07/2022,2,Mike Janela,4286,20,8,6,3,-2200,-600,13,4,3,1,,,1800,0,7,1793
1429,7326,38,149,04/07/2022,3,Reagan White,4287,16,6,5,1,,2400,16,14,13,2,-2000,,11600,0,11600,0
1430,7327,38,150,04/08/2022,1,Mattea Roach,4281,22,16,15,1,,7400,20,17,16,2,-2000,,22200,1,2000,24200
1430,7327,38,150,04/08/2022,2,Tom Nucum,4289,12,4,2,2,,200,11,6,5,2,,-3000,400,1,100,500
1430,7327,38,150,04/08/2022,3,Abigail Davis,4290,13,6,5,2,-1600,0,10,3,3,0,,,3600,1,2500,6100
1431,7328,38,151,04/11/2022,1,Mattea Roach,4281,24,16,15,1,,7000,15,7,5,2,,,10200,1,2400,12600
1431,7328,38,151,04/11/2022,2,Vanessa McCombs,4292,19,4,3,1,,600,15,8,6,3,-2000,,2600,0,2600,0
1431,7328,38,151,04/11/2022,3,Michael Wolman,4293,20,9,9,1,400,5200,12,7,6,2,,5000,12600,0,8000,4600
1435,7329,38,152,04/12/2022,1,Mattea Roach,4281,22,18,18,1,2000,9600,20,13,14,0,,3000,25400,1,5400,30800
1435,7329,38,152,04/12/2022,2,Leah Q. Pence,4304,21,4,2,2,,-200,16,5,6,0,2000,,7800,1,5056,12856
1435,7329,38,152,04/12/2022,3,Zhe Lu,4305,18,9,7,2,,2600,14,7,5,2,,,5800,0,3900,1900
1436,7330,38,153,04/13/2022,1,Mattea Roach,4281,19,13,12,1,,7200,17,11,11,0,,,20400,1,1,20401
1436,7330,38,153,04/13/2022,2,Rachel Skytt,4307,15,8,8,0,,4000,15,4,4,0,,,8000,0,0,8000
1436,7330,38,153,04/13/2022,3,Adam Wallick,4308,14,3,4,0,400,2000,12,9,8,3,2000,5000,10200,0,10200,0
1437,7331,38,154,04/14/2022,1,Mattea Roach,4281,22,18,18,1,2000,10200,21,16,14,3,,-2000,19400,0,5000,14400
1437,7331,38,154,04/14/2022,2,Kristen Rucki,4310,22,6,5,1,,1400,14,6,5,2,-2000,,3000,0,750,2250
1437,7331,38,154,04/14/2022,3,Joe Grodahl,4311,15,5,4,1,,2400,15,3,2,1,,,2400,0,2300,100
1438,7332,38,155,04/15/2022,1,Mattea Roach,4281,18,10,9,1,,4600,19,13,13,0,,,21800,1,6201,28001
1438,7332,38,155,04/15/2022,2,Katie Teller,4313,20,8,7,1,,3000,15,7,7,1,,7000,14000,0,8000,6000
1438,7332,38,155,04/15/2022,3,Allan Joseph,4314,23,12,10,3,2000,4800,11,6,6,1,2000,,10000,1,5000,15000
1439,7333,38,156,04/18/2022,1,Mattea Roach,4281,22,13,13,1,1000,5000,17,12,13,1,3200,3000,20800,0,4001,16799
1439,7333,38,156,04/18/2022,2,Caitlin Hayes,4316,22,7,6,1,,3800,12,5,5,0,,,9800,1,2000,11800
1439,7333,38,156,04/18/2022,3,Sarah McGrath,4317,19,7,7,0,,5200,17,7,6,1,,,12400,0,9000,3400
1440,7334,38,157,04/19/2022,1,Mattea Roach,4281,20,12,12,0,,5600,20,12,11,2,,3400,17400,0,119,17281
1440,7334,38,157,04/19/2022,2,Tina DiSciullo-Acker,4319,22,7,5,2,,1400,18,7,5,2,,,7000,0,5000,2000
1440,7334,38,157,04/19/2022,3,Josh Sen,4320,16,10,9,2,-1800,2800,14,9,9,1,-3000,,8600,0,0,8600
1441,7335,38,158,04/20/2022,1,Mattea Roach,4281,19,17,18,0,2400,11000,18,15,13,3,,2000,21400,1,5000,26400
1441,7335,38,158,04/20/2022,2,Loni Lewis,4322,11,5,4,1,,1000,11,5,2,3,,,-600,,,-600
